"sexo","edad","nivel","cond_act","p3_1","p3_2","p3_5","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p11","p25","p35","year","p12_info","p12_prac","p12_entr"
1,32,4,1,2,2,1,0,0,0,0,0,0,0,1,1,2020,2,2,2
2,66,4,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,73,2,8,2,1,2,0,0,0,0,0,0,5,0,1,2020,2,2,1
1,80,2,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,27,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
1,32,2,1,1,2,1,3,2,2,2,1,2,0,4,1,2020,2,2,2
1,66,4,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,60,4,1,1,1,1,3,2,2,2,1,2,3,3,1,2020,1,1,2
2,46,5,1,1,2,2,3,2,1,2,2,2,0,0,1,2020,2,2,2
2,39,3,1,1,2,2,1,2,1,2,2,2,0,0,1,2020,2,2,2
2,33,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,51,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,48,4,1,1,2,1,4,2,1,2,2,2,0,3,1,2020,2,2,2
2,21,4,6,1,1,1,2,2,1,1,2,2,2,2,1,2020,1,1,2
2,21,4,6,1,2,1,2,2,1,2,2,2,0,2,1,2020,2,2,2
2,78,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,32,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,40,4,1,2,1,1,0,0,0,0,0,0,4,3,1,2020,2,2,1
2,26,4,5,1,2,2,2,2,1,2,2,2,0,0,1,2020,2,2,2
1,71,2,1,1,2,2,4,2,2,2,2,1,0,0,1,2020,2,2,2
1,40,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,32,2,1,1,2,1,5,2,2,1,2,2,0,3,1,2020,2,2,2
2,76,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,61,2,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
1,27,4,1,1,2,1,3,2,2,2,2,1,0,4,1,2020,2,2,2
2,37,3,1,1,2,1,1,2,2,2,1,2,0,1,1,2020,2,2,2
2,35,2,7,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,37,4,1,2,1,1,0,0,0,0,0,0,3,4,1,2020,1,2,2
1,25,4,1,1,2,1,4,2,2,2,2,1,0,4,1,2020,2,2,2
1,47,2,1,2,1,1,0,0,0,0,0,0,4,3,1,2020,1,1,2
1,25,4,6,2,1,2,0,0,0,0,0,0,1,0,1,2020,2,1,2
2,57,4,8,1,1,1,4,2,2,1,2,2,4,4,1,2020,2,1,1
1,75,4,8,1,2,2,4,2,2,2,1,2,0,0,1,2020,2,2,2
